age,taille,poids,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret
73,166.9,69.0,4771,0.47,5175.89104031576,19719.5017886146
22,189.5,92.8,1878,0.93,5175.89104031576,500.0
75,160.8,68.2,4778,0.64,5000.0,8980.312053464007
40,171.7,58.2,1899,0.11,5175.89104031576,500.0
47,179.2,67.9,3789,0.68,5175.89104031576,18509.20677497533
57,174.0,83.7,4207,0.78,5175.89104031576,21549.82401911197
69,181.4,37.9,1435,0.24,5175.89104031576,500.0
32,172.4,46.2,1861,0.78,5000.0,500.0
74,179.6,79.9,1998,0.59,5175.89104031576,500.0
56,160.5,66.6,1908,0.47,5000.0,20423.84320730014
57,176.5,77.0,1176,0.32,5175.89104031576,500.0
33,167.5,38.5,2377,0.44,5000.0,18901.259369115334
41,172.6,62.4,4319,0.08,5175.89104031576,500.0
45,168.0,58.7,4231,0.06,5000.0,500.0
75,147.7,54.3,2452,0.49,5175.89104031576,500.0
44,150.0,57.9,4154,0.76,5000.0,10656.8885958248
29,178.0,76.3,3121,0.72,5000.0,7051.1771065952
72,157.2,64.2,2466,0.16,5175.89104031576,5070.610961595275
72,162.2,54.9,2684,0.78,5000.0,15080.08702060483
23,153.4,74.9,3055,0.35,5175.89104031576,1798.0125221383746
42,170.7,87.0,1203,0.38,5175.89104031576,10497.778053549608
23,170.8,46.7,531,0.96,5175.89104031576,500.0
37,166.2,85.2,2743,0.49,5175.89104031576,16741.9804046619
27,160.6,71.5,500,0.23,5175.89104031576,14504.604268333092
49,156.9,68.6,1711,0.53,5175.89104031576,500.0
41,177.4,82.0,1882,0.2,5175.89104031576,28685.37160497041
73,159.2,67.1,2345,0.86,5175.89104031576,500.0
60,165.8,64.5,1704,0.3,5000.0,500.0
57,173.2,54.9,871,0.47,5175.89104031576,500.0
64,171.3,71.2,2589,0.7,5175.89104031576,20212.703427559845
49,181.9,72.9,1127,0.22,5175.89104031576,5504.582746306162
68,181.6,81.4,1526,0.49,5175.89104031576,8878.890939012841
72,171.1,60.4,2676,0.46,5000.0,10124.44495985712
75,175.4,79.0,2362,0.39,5000.0,500.0
62,178.4,66.8,3735,0.4,5175.89104031576,500.0
37,171.7,82.7,2379,0.21,5175.89104031576,500.0
51,150.6,81.2,3353,0.86,5175.89104031576,29651.483306242997
31,176.9,72.0,1599,0.35,5000.0,500.0
31,170.0,51.7,1814,0.07,5175.89104031576,38558.79613385785
20,179.9,73.5,3332,0.03,5175.89104031576,14791.054255033709
56,161.2,92.0,2204,0.81,5000.0,24690.30817151772
42,166.9,85.5,3099,0.73,5175.89104031576,14232.322333697375
55,182.7,74.8,1771,0.09,5000.0,500.0
25,156.3,82.4,5431,0.29,5000.0,27702.156529405507
67,176.1,75.2,2979,0.56,5175.89104031576,30331.9324936551
68,169.2,93.5,2128,0.18,5175.89104031576,500.0
34,176.9,43.0,1863,0.92,5175.89104031576,14449.054890309168
73,159.4,69.4,3806,0.29,5175.89104031576,500.0
67,164.9,64.9,951,0.35,5000.0,500.0
69,185.7,71.8,936,0.28,5175.89104031576,500.0
64,156.4,52.9,1541,0.33,5175.89104031576,500.0
36,168.7,94.1,2002,0.23,5000.0,9001.546015414096
23,166.6,66.8,2582,0.83,5000.0,10903.397392817302
26,165.8,83.7,3895,0.61,5175.89104031576,3166.058998466729
49,172.1,68.2,500,0.5,5000.0,500.0
22,169.2,93.2,1224,0.23,5000.0,11196.8709848394
22,173.5,61.9,796,0.88,5175.89104031576,10822.827044993295
56,170.1,74.4,898,0.02,5175.89104031576,500.0
56,180.2,72.9,500,0.14,5175.89104031576,500.0
51,184.7,62.0,2926,0.42,5000.0,35758.18072081153
34,170.4,86.6,2399,0.01,5000.0,11737.23847284871
28,178.2,72.8,1768,0.71,5175.89104031576,500.0
65,162.2,82.4,2632,0.57,5000.0,11759.638243193413
67,160.3,73.4,3409,0.87,5175.89104031576,18711.66358452964
40,170.3,74.4,3130,0.82,5175.89104031576,500.0
74,169.1,76.3,1899,0.41,5000.0,20814.697568663774
21,169.3,74.0,3444,0.23,5000.0,500.0
47,173.5,75.8,2384,0.22,5000.0,6829.661938726994
23,158.8,44.8,1713,0.58,5175.89104031576,500.0
35,153.7,76.8,2789,0.64,5000.0,29152.59717199099
40,180.5,85.9,3336,0.21,5000.0,500.0
41,179.0,35.9,2699,0.33,5175.89104031576,8620.740440969317
68,177.0,86.3,3059,0.75,5000.0,500.0
44,167.9,74.2,3485,0.78,5000.0,6950.691750123016
75,156.9,88.8,989,0.26,5175.89104031576,12906.990479801343
32,178.3,78.4,2538,0.91,5175.89104031576,21288.40814422946
35,159.0,59.6,2107,0.34,5000.0,500.0
58,181.8,86.9,962,0.87,5000.0,14356.8655104378
62,186.6,78.8,3271,0.22,5000.0,17984.913231590494
48,175.2,72.0,4371,0.52,5000.0,500.0
19,178.3,47.7,4022,0.53,5175.89104031576,20399.31047104829
29,153.8,60.9,4116,0.42,5000.0,32226.988031995694
58,165.6,56.9,3767,0.32,5175.89104031576,500.0
26,164.8,99.3,1587,0.73,5175.89104031576,500.0
23,177.3,71.7,1513,0.65,5000.0,500.0
42,179.2,76.7,2273,0.51,5175.89104031576,11655.390877132537
45,171.0,58.3,3352,0.01,5000.0,500.0
52,177.0,58.0,2014,0.29,5000.0,500.0
49,183.2,67.0,5607,0.4,5175.89104031576,500.0
27,179.1,87.6,2099,0.38,5000.0,15284.764778404458
22,175.8,67.0,884,0.13,5175.89104031576,500.0
72,160.5,77.5,2445,0.85,5175.89104031576,500.0
51,175.3,60.4,2408,0.29,5175.89104031576,2050.7157398082786
19,180.4,79.3,500,0.6,5175.89104031576,15874.774716771984
26,167.9,68.5,2262,0.48,5175.89104031576,500.0
59,146.9,48.7,2618,0.2,5000.0,8886.31357750079
19,176.1,41.6,3278,0.66,5175.89104031576,2813.156186853146
70,170.6,53.7,3247,0.79,5175.89104031576,5257.865301498262
33,163.6,87.7,1517,0.06,5175.89104031576,500.0
62,167.7,69.7,1393,0.99,5175.89104031576,500.0
66,180.2,87.2,4100,0.21,5175.89104031576,500.0
29,161.9,57.4,2152,0.88,5175.89104031576,500.0
49,186.6,65.8,1522,0.09,5175.89104031576,500.0
72,165.0,56.5,3613,0.21,5000.0,500.0
43,185.8,100.2,3269,1.0,5175.89104031576,500.0
60,183.7,80.3,3928,0.11,5175.89104031576,34295.832598520334
58,162.8,79.3,3416,0.89,5175.89104031576,18587.129442140165
54,172.7,73.8,3156,0.71,5175.89104031576,500.0
48,168.0,97.0,4631,0.03,5000.0,36033.114778201976
74,186.0,102.9,1541,0.82,5175.89104031576,37740.068058608034
45,164.5,82.7,2098,0.61,5000.0,500.0
32,167.6,61.5,4698,0.67,5175.89104031576,30376.436480777666
20,168.7,63.0,2761,0.85,5000.0,500.0
29,167.9,84.7,2501,0.77,5000.0,8951.748512055701
25,161.3,50.5,1439,0.44,5000.0,500.0
46,181.0,95.3,500,0.31,5175.89104031576,500.0
26,170.7,35.9,4878,0.58,5175.89104031576,32308.384532419597
32,174.0,66.8,1623,0.08,5175.89104031576,15491.537251224858
67,157.2,97.3,2066,0.49,5000.0,16226.947381582757
38,182.1,81.9,2675,0.17,5175.89104031576,500.0
52,160.9,66.4,1996,0.44,5000.0,11326.25449697811
57,173.7,75.8,500,0.78,5000.0,500.0
58,185.9,76.4,2143,0.23,5000.0,500.0
22,179.6,55.6,4170,0.95,5000.0,500.0
42,152.8,87.7,3511,0.55,5175.89104031576,500.0
30,149.7,60.8,2227,0.18,5000.0,500.0
50,180.9,73.6,2782,0.87,5175.89104031576,8052.316794480487
50,189.5,90.2,2397,0.97,5000.0,500.0
20,178.7,37.7,1942,0.84,5175.89104031576,15686.78132850265
60,168.9,59.8,2475,0.98,5000.0,25720.956678722483
37,165.3,72.8,2805,0.69,5175.89104031576,500.0
52,182.6,66.2,640,0.35,5175.89104031576,500.0
36,154.3,97.1,2557,0.1,5175.89104031576,500.0
66,156.1,85.5,3901,0.72,5000.0,3727.548198082763
38,192.8,86.4,2686,0.6,5175.89104031576,22474.032687219635
57,165.6,79.2,3673,0.1,5175.89104031576,1039.6814070236503
20,170.1,63.4,4054,0.62,5175.89104031576,31326.215437795137
73,167.0,77.1,1195,0.03,5175.89104031576,500.0
71,161.7,68.5,2480,0.7,5175.89104031576,11768.124179750985
37,161.2,84.1,2011,0.53,5000.0,1113.829489318093
23,177.4,91.5,3667,0.4,5000.0,9768.568084750788
33,182.0,79.3,3289,0.83,5000.0,500.0
51,188.6,73.6,1501,0.95,5175.89104031576,500.0
25,178.9,62.5,1699,0.22,5175.89104031576,500.0
46,166.2,88.9,2991,0.68,5000.0,3956.1305457758576
74,180.5,69.4,1246,0.74,5175.89104031576,500.0
74,157.2,45.4,500,0.23,5175.89104031576,500.0
30,177.1,82.5,3091,0.35,5175.89104031576,15788.97905842714
40,183.9,55.0,2352,0.7,5175.89104031576,25896.143475960027
21,176.1,84.6,1788,0.08,5175.89104031576,35273.91129309822
30,182.8,98.7,2488,0.74,5175.89104031576,6745.451611897515
64,167.3,66.8,2072,0.42,5175.89104031576,500.0
64,171.5,52.1,4057,0.03,5175.89104031576,32056.67702970769
32,171.1,91.5,4320,0.78,5000.0,500.0
29,179.1,84.4,2267,0.41,5175.89104031576,14342.908068679784
24,178.5,73.6,2287,0.61,5000.0,18779.775335854243
55,173.0,68.6,1009,0.66,5000.0,500.0
46,164.9,59.9,2151,0.75,5000.0,500.0
63,177.6,80.4,1185,0.27,5000.0,500.0
18,166.1,66.4,2376,0.44,5175.89104031576,500.0
64,165.4,74.8,3212,0.24,5000.0,22800.89475109125
60,179.3,61.4,3117,0.95,5000.0,500.0
46,174.1,72.1,2459,0.94,5175.89104031576,9982.95628024238
25,161.0,61.9,2980,0.59,5000.0,19494.724237604543
36,175.0,89.0,2492,0.94,5000.0,9462.275864934223
52,166.3,75.2,3921,0.84,5175.89104031576,17058.953675593435
34,161.9,59.9,3270,0.29,5175.89104031576,8702.111848462
26,171.8,39.5,3616,0.98,5000.0,500.0
69,166.3,95.9,3205,0.22,5175.89104031576,500.0
35,158.7,67.8,3549,0.96,5000.0,500.0
56,157.2,43.8,2262,0.72,5000.0,16085.86547001797
26,157.9,91.9,3839,0.47,5000.0,33841.40719796205
69,159.2,61.1,2784,0.95,5175.89104031576,12512.590261056705
20,166.6,66.0,2013,0.94,5000.0,500.0
27,164.5,61.0,3102,0.8,5000.0,10455.281361547186
40,165.5,67.2,2915,0.03,5000.0,23418.10856886971
30,167.0,57.7,546,0.43,5000.0,500.0
30,171.2,78.7,1360,0.39,5175.89104031576,34232.663162465586
21,166.3,82.2,2174,0.35,5000.0,8190.753263564347
32,172.7,85.8,2826,0.97,5175.89104031576,954.7605729030372
71,169.5,49.8,1476,0.59,5000.0,500.0
36,171.3,72.6,1623,0.44,5175.89104031576,500.0
24,170.1,83.0,2230,0.94,5175.89104031576,3008.8990285788677
60,183.5,65.1,2141,0.58,5175.89104031576,5655.644487600104
62,174.2,78.6,1773,0.19,5000.0,24298.23407125733
29,152.2,73.3,3481,0.23,5175.89104031576,3947.212086700677
67,163.9,72.1,3389,0.06,5000.0,500.0
46,171.3,69.2,2904,0.43,5175.89104031576,25610.462535755527
48,184.0,83.8,2555,0.02,5175.89104031576,35632.16173175065
54,168.8,74.4,4079,0.31,5175.89104031576,500.0
70,169.5,77.4,3974,0.06,5000.0,24841.31563523786
27,173.8,98.7,4364,0.48,5175.89104031576,30990.60213328678
67,172.9,84.1,2820,0.88,5175.89104031576,12235.719171269016
36,176.0,72.7,2026,0.04,5000.0,500.0
27,168.0,69.6,2846,0.24,5000.0,500.0
39,178.8,53.6,2570,0.71,5000.0,26943.41956696861
23,147.7,76.0,2380,0.63,5000.0,500.0
40,182.4,60.9,3360,0.3,5000.0,19703.480412800287
57,164.7,54.1,3209,0.45,5175.89104031576,17344.171253215754
60,155.5,89.8,2540,0.71,5175.89104031576,16742.66877995482
61,161.5,59.7,4802,0.51,5175.89104031576,500.0
66,153.5,103.7,3075,0.65,5175.89104031576,500.0
72,179.1,79.7,2469,0.77,5175.89104031576,18207.78297019837
62,190.6,47.5,3445,0.16,5000.0,500.0
70,164.7,78.3,2831,0.37,5175.89104031576,500.0
70,152.5,61.1,1473,0.78,5000.0,500.0
55,168.5,83.1,1872,0.25,5000.0,506.3094239079885
28,155.8,82.9,1898,0.84,5000.0,500.0
57,176.3,58.6,2078,0.03,5000.0,500.0
40,176.1,68.9,3134,0.56,5175.89104031576,24477.586995519163
26,168.2,90.0,3411,0.65,5000.0,28468.332550649942
62,168.0,84.0,3271,0.01,5175.89104031576,17838.879204168137
54,156.4,45.6,4744,0.9,5175.89104031576,15944.351571310635
57,172.5,50.8,500,0.6,5000.0,500.0
58,171.4,75.1,1784,0.1,5000.0,500.0
56,164.5,48.5,3256,0.89,5175.89104031576,500.0
38,174.8,53.2,3146,0.56,5000.0,500.0
60,161.9,69.0,1765,0.1,5000.0,12869.386140401331
65,183.9,109.5,2517,0.54,5000.0,500.0
52,174.8,67.5,2773,0.49,5000.0,500.0
54,157.6,80.2,3732,0.03,5175.89104031576,10625.676850883963
25,178.0,69.9,2679,0.8,5000.0,24776.40156737597
57,159.0,57.5,1346,0.93,5175.89104031576,2151.253609039803
74,159.8,32.2,3829,0.04,5175.89104031576,500.0
29,184.2,69.4,3562,0.1,5175.89104031576,25932.37750370768
73,174.6,65.8,2258,0.44,5175.89104031576,500.0
53,182.8,66.5,2938,0.13,5000.0,500.0
54,168.8,55.2,1984,0.97,5175.89104031576,500.0
66,177.0,55.3,2310,0.44,5175.89104031576,13526.643330258712
36,159.1,76.5,3055,0.54,5175.89104031576,500.0
31,175.0,72.9,2729,0.4,5175.89104031576,20714.46594528287
18,174.3,83.3,500,0.21,5175.89104031576,13895.776251207084
62,158.5,63.6,2434,0.95,5000.0,500.0
74,153.2,70.6,2760,0.77,5000.0,17089.72304557635
72,170.8,54.5,3276,0.5,5175.89104031576,34796.85400708748
39,187.5,82.8,2193,0.95,5175.89104031576,28162.834906399592
31,159.1,68.5,3060,0.11,5000.0,8243.367217368506
30,154.2,85.8,2997,0.87,5175.89104031576,500.0
40,175.5,55.7,2200,0.47,5175.89104031576,17015.694884436813
32,175.7,68.3,1731,0.29,5175.89104031576,2333.869952457323
22,182.1,83.0,2232,0.62,5175.89104031576,500.0
66,184.0,68.0,1526,0.08,5000.0,9095.58278338632
52,161.1,73.1,2329,0.42,5175.89104031576,16155.906746309356
25,169.7,47.7,3733,0.34,5175.89104031576,5149.728824917103
71,168.8,70.6,500,0.38,5000.0,500.0
51,183.9,59.8,4806,0.2,5000.0,500.0
50,180.2,68.1,500,0.62,5000.0,500.0
47,165.7,68.6,1181,0.05,5000.0,500.0
31,174.0,67.8,1410,0.68,5175.89104031576,500.0
23,162.5,55.9,2203,0.59,5175.89104031576,29886.90863760261
49,166.0,78.1,2306,0.64,5175.89104031576,500.0
35,160.5,84.9,3234,0.52,5175.89104031576,8600.648893706006
21,153.6,88.1,3070,0.58,5000.0,9825.729814473463
44,168.3,68.2,3123,0.65,5000.0,20396.247744681383
50,177.8,62.8,1137,0.52,5175.89104031576,500.0
36,174.1,52.1,785,0.33,5175.89104031576,500.0
50,176.4,71.4,2430,0.05,5175.89104031576,2179.9540644179174
26,169.2,61.9,3535,0.88,5000.0,500.0
70,179.2,70.3,3067,0.33,5175.89104031576,500.0
25,169.1,67.3,4143,0.71,5000.0,4492.145732725343
64,161.8,66.6,2811,0.37,5000.0,500.0
71,160.8,105.5,4947,0.0,5175.89104031576,25151.281467326688
70,168.0,75.2,2670,0.98,5000.0,36896.60980019855
43,161.6,78.2,2189,0.85,5000.0,1998.9243449274347
69,161.8,50.0,2470,0.78,5000.0,10783.05855056268
31,174.3,86.1,2021,0.47,5175.89104031576,500.0
47,184.3,77.1,4857,0.19,5000.0,12507.864081330485
37,153.2,70.8,500,0.69,5175.89104031576,12534.086087338055
31,168.0,59.6,3466,0.57,5000.0,17023.97520924748
56,171.3,73.3,3906,0.36,5175.89104031576,2813.500497804289
27,171.3,89.1,500,0.05,5175.89104031576,7650.239810585742
44,162.8,89.8,2481,0.99,5000.0,14225.3372344427
26,166.9,42.8,942,0.35,5000.0,500.0
50,168.5,55.5,1559,0.84,5000.0,500.0
70,149.7,70.0,3425,0.8,5000.0,18764.585626528544
73,176.6,50.6,1621,0.76,5175.89104031576,16177.121288527109
70,149.0,41.7,3871,0.19,5175.89104031576,500.0
25,158.5,68.9,500,0.14,5175.89104031576,3602.0572172903267
54,155.4,66.7,3175,0.5,5175.89104031576,580.3723833248425
71,173.4,65.9,2425,0.99,5000.0,4133.895360615895
29,163.6,54.0,3212,0.61,5000.0,2371.972611770464
44,181.2,82.9,2308,0.3,5175.89104031576,16957.3941868435
68,176.0,76.4,5345,0.63,5175.89104031576,28168.06385337335
56,180.6,59.4,1776,0.43,5000.0,500.0
29,196.3,60.1,4510,0.34,5000.0,14476.711366790529
64,186.3,89.4,3432,0.48,5175.89104031576,28433.95647982497
55,154.4,60.4,3050,0.15,5175.89104031576,500.0
44,177.5,65.4,2651,0.94,5175.89104031576,500.0
24,181.0,86.5,2142,0.04,5000.0,500.0
33,167.9,84.0,2061,0.78,5175.89104031576,18751.338613719585
23,171.3,78.8,2806,0.3,5175.89104031576,33790.934028461925
22,182.0,69.3,1809,0.79,5175.89104031576,1846.089316631996
43,161.4,64.6,3974,0.96,5175.89104031576,23670.74957331744
25,185.9,47.5,1245,0.53,5175.89104031576,500.0
18,176.6,58.0,1285,0.72,5000.0,500.0
70,159.0,61.8,3650,0.94,5000.0,12762.371866272675
59,162.0,41.0,2768,0.65,5175.89104031576,6847.684831678455
58,175.5,65.6,1326,0.53,5175.89104031576,500.0
23,162.5,55.5,1237,0.16,5175.89104031576,8128.129620552187
63,166.4,98.1,1173,0.68,5175.89104031576,3681.123044139684
50,194.4,65.0,2571,0.42,5000.0,15089.998384791275
66,184.8,72.2,1272,0.04,5175.89104031576,500.0
19,163.7,71.0,2320,0.73,5000.0,13337.63621486146
68,172.0,69.2,3370,0.83,5175.89104031576,26325.54973326867
38,163.9,93.4,2656,0.31,5175.89104031576,500.0
42,153.6,43.8,1121,0.82,5175.89104031576,1198.40278870796
53,175.8,86.2,4298,0.76,5175.89104031576,500.0
21,167.6,68.8,3155,0.76,5000.0,500.0
26,151.7,45.0,3151,0.29,5000.0,500.0
56,167.4,69.1,4354,0.55,5175.89104031576,500.0
45,159.4,62.8,1928,0.53,5000.0,500.0
71,165.7,51.7,1311,0.32,5000.0,500.0
67,185.9,55.8,2073,0.17,5000.0,2957.735052299841
50,165.8,60.1,2271,0.01,5000.0,10100.043128108056
52,166.6,48.8,500,0.23,5000.0,500.0
34,168.2,50.6,2531,0.73,5000.0,500.0
47,177.7,73.0,1414,0.98,5000.0,13904.822032884444
67,172.9,63.1,3963,0.43,5000.0,500.0
55,178.8,74.0,3299,0.32,5175.89104031576,16118.51763534448
54,172.6,76.8,1144,0.15,5175.89104031576,500.0
66,165.1,55.8,3106,0.37,5000.0,500.0
33,181.2,84.2,1804,0.3,5000.0,500.0
33,151.8,64.7,2762,0.32,5175.89104031576,500.0
46,163.9,61.0,2489,0.21,5175.89104031576,5228.925359555471
63,143.7,49.8,500,0.68,5000.0,500.0
32,169.8,60.1,1990,0.06,5000.0,500.0
25,184.2,78.5,3217,0.92,5000.0,500.0
59,174.5,56.0,1828,0.05,5000.0,500.0
38,185.0,57.2,3344,0.69,5175.89104031576,500.0
70,168.8,78.6,1808,0.45,5175.89104031576,500.0
67,163.3,103.8,3383,0.49,5000.0,2600.2234067969134
52,170.3,63.8,3605,0.61,5000.0,14852.347077061037
28,180.8,61.8,1995,0.25,5000.0,11408.76158074839
43,172.0,93.8,2119,0.6,5000.0,27709.49832108441
66,188.5,73.9,3578,0.83,5000.0,26303.44957979199
65,167.1,49.0,500,0.36,5000.0,500.0
18,177.6,59.7,1775,0.41,5175.89104031576,8427.679988847724
55,188.8,83.9,2832,0.68,5175.89104031576,500.0
24,159.6,73.1,1368,0.46,5175.89104031576,500.0
19,148.9,88.9,2180,0.11,5175.89104031576,500.0
41,180.5,51.6,1608,0.05,5175.89104031576,19948.55530577029
38,176.6,74.1,1930,0.5,5175.89104031576,500.0
59,159.8,93.4,2403,0.3,5175.89104031576,500.0
22,167.3,101.3,1111,0.94,5175.89104031576,500.0
69,181.2,55.0,5059,0.69,5175.89104031576,3578.8122995430704
67,165.3,53.5,2448,0.13,5000.0,500.0
33,175.1,71.6,3860,0.65,5000.0,21105.465723365476
59,167.7,58.4,2897,0.75,5000.0,500.0
48,159.2,72.2,3180,0.6,5175.89104031576,36556.59307284404
53,173.8,54.8,2429,0.79,5000.0,500.0
66,165.6,84.3,1976,0.13,5175.89104031576,21781.98695875671
41,153.7,56.9,2466,0.68,5175.89104031576,500.0
35,177.4,84.1,1555,0.51,5000.0,4723.846046656456
56,160.0,69.4,1519,0.54,5000.0,500.0
27,175.4,68.7,3179,0.94,5000.0,500.0
62,172.3,72.8,2423,0.21,5000.0,13513.468560001344
20,187.1,86.7,2487,0.6,5000.0,500.0
32,174.2,67.2,500,0.89,5175.89104031576,500.0
39,186.5,63.3,2621,0.46,5175.89104031576,17700.961735700923
36,179.3,56.7,2698,0.71,5175.89104031576,1365.6135455569474
57,154.5,49.9,2377,0.31,5000.0,7964.866269439541
71,176.9,97.2,1156,0.69,5000.0,500.0
46,163.4,79.0,3260,0.05,5175.89104031576,12967.610492373218
60,172.0,77.0,1698,0.46,5175.89104031576,25591.639696246308
25,178.6,61.4,2358,0.48,5175.89104031576,39095.70132515807
44,175.6,82.6,4021,0.96,5000.0,500.0
30,155.5,85.4,1282,0.92,5175.89104031576,500.0
39,174.2,91.3,3868,0.84,5000.0,6659.447214207712
58,179.0,65.1,3764,0.21,5000.0,26612.43910076703
52,168.8,59.6,3034,0.28,5000.0,500.0
69,158.4,74.0,2030,0.25,5175.89104031576,17858.7134257502
18,179.0,51.9,2028,0.97,5175.89104031576,500.0
62,177.1,42.5,2721,0.95,5000.0,3566.516472585042
24,165.6,55.8,3348,0.73,5175.89104031576,500.0
34,160.6,64.3,1801,0.69,5175.89104031576,26375.556848313485
60,176.3,80.1,1855,0.42,5000.0,21260.31115423613
44,179.9,62.2,1699,0.07,5175.89104031576,10595.161518636263
18,161.1,77.2,2212,0.04,5175.89104031576,35080.871417525945
19,178.5,63.3,1985,0.92,5175.89104031576,4702.812188676967
61,154.1,60.6,1226,0.6,5000.0,21253.504165053688
54,166.2,86.4,1434,0.23,5000.0,9332.083526883216
23,181.2,87.2,2756,0.39,5175.89104031576,14985.199597962728
54,172.5,90.7,2154,0.6,5175.89104031576,500.0
26,173.3,77.6,4095,0.51,5000.0,7532.138945560896
70,171.5,40.6,1074,0.63,5000.0,500.0
31,171.3,54.7,1381,0.48,5175.89104031576,500.0
30,179.7,64.6,2957,0.57,5175.89104031576,22716.745394050467
27,162.9,75.6,3093,0.64,5175.89104031576,20681.097315600247
30,172.3,51.6,3730,0.34,5175.89104031576,500.0
74,178.2,75.9,2118,0.43,5175.89104031576,8894.289806602754
18,171.6,75.4,1939,0.38,5175.89104031576,500.0
49,146.0,56.6,2961,0.71,5175.89104031576,500.0
40,156.2,54.5,3053,0.19,5000.0,23766.59476410503
68,167.8,64.5,1454,0.11,5000.0,500.0
34,156.6,66.8,3770,0.63,5175.89104031576,24198.55602015513
47,157.0,78.3,612,0.19,5175.89104031576,500.0
53,167.8,65.8,2076,0.48,5175.89104031576,500.0
25,174.6,72.6,2383,0.03,5000.0,500.0
58,166.2,75.0,921,0.04,5175.89104031576,1167.099525275034
67,174.2,87.9,2323,0.46,5175.89104031576,22338.290912557102
75,179.6,80.6,2028,0.8,5000.0,500.0
20,165.2,43.0,2384,0.21,5000.0,18259.874610043164
43,178.7,84.0,937,0.4,5000.0,11155.671648827018
19,174.8,78.9,2990,0.62,5175.89104031576,24511.42535744556
34,164.7,66.1,3319,0.72,5000.0,500.0
59,167.5,77.0,1982,0.99,5000.0,500.0
54,180.6,86.3,1185,0.0,5000.0,500.0
75,177.9,89.1,3711,0.97,5000.0,23727.3912340518
41,173.5,69.2,2841,0.34,5175.89104031576,500.0
65,166.7,96.2,962,0.38,5000.0,500.0
48,177.6,33.8,1531,0.91,5175.89104031576,8937.89525243721
