age,taille,poids,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret,sexe_F,sexe_H,sport_licence_non,sport_licence_oui,niveau_etude_aucun,niveau_etude_bac,niveau_etude_bac+2,niveau_etude_doctorat,niveau_etude_master,region_Auvergne-Rhône-Alpes,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,smoker_non,smoker_oui,nationalité_francaise_non,nationalité_francaise_oui,situation_familiale_célibataire,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf
28,160.2,92.5,500,0.4,5000.0,500.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False
21,168.4,71.1,3695,0.17,5000.0,22775.8955135935,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
70,172.9,70.9,3304,0.28,5000.0,8853.723228062805,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
42,185.9,57.8,897,0.05,5000.0,11778.343548052928,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
37,181.5,91.8,3072,0.56,5175.89104031576,21531.409941811824,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False
30,163.1,84.3,1295,0.52,5175.89104031576,500.0,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
34,181.6,66.8,1566,0.28,5175.89104031576,1992.4825524566772,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False
55,172.2,91.8,3929,0.4,5175.89104031576,15002.912094814255,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
32,143.5,82.1,3770,0.4,5175.89104031576,500.0,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False
71,175.2,71.9,4747,0.12,5000.0,500.0,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False
44,168.8,56.1,3214,0.82,5175.89104031576,10488.968596578909,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
70,169.1,75.5,4602,0.36,5175.89104031576,28770.26971420019,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
63,183.7,56.2,3127,0.17,5000.0,14801.426364952236,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
34,163.0,81.6,2741,0.6,5175.89104031576,500.0,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
47,167.4,59.2,3059,0.69,5175.89104031576,28698.200373046937,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
30,170.6,54.3,2285,0.07,5000.0,24341.03004691129,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
74,159.7,95.8,1823,0.26,5000.0,9958.305010076558,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
41,179.5,65.6,2321,0.53,5000.0,15785.751255071553,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
30,179.1,71.9,5481,0.08,5000.0,22240.901666635506,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
23,162.2,72.1,3627,0.77,5175.89104031576,500.0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
74,171.8,61.8,1216,0.79,5000.0,11292.029477601953,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False
22,190.0,63.9,1731,0.25,5000.0,4529.690297241665,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
18,168.4,73.9,4463,0.15,5175.89104031576,500.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
41,154.1,97.5,1993,0.47,5175.89104031576,1281.9229939424142,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
59,156.8,75.3,3359,0.58,5175.89104031576,500.0,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False
52,163.6,39.3,2217,0.59,5000.0,1703.2091550614111,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
44,159.6,84.8,3603,0.34,5175.89104031576,18161.86602584039,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
64,170.7,71.5,3097,0.83,5000.0,500.0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
29,178.3,77.1,3152,0.88,5175.89104031576,2426.265552876417,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False
59,172.1,66.4,1484,0.25,5000.0,17717.330429437272,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
74,151.8,51.9,2986,0.74,5000.0,11837.808210233152,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
73,166.9,69.0,4771,0.47,5175.89104031576,19719.5017886146,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
22,189.5,92.8,1878,0.93,5175.89104031576,500.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
75,160.8,68.2,4778,0.64,5000.0,8980.312053464007,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
40,171.7,58.2,1899,0.11,5175.89104031576,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True
47,179.2,67.9,3789,0.68,5175.89104031576,18509.20677497533,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
57,174.0,83.7,4207,0.78,5175.89104031576,21549.82401911197,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False
69,181.4,37.9,1435,0.24,5175.89104031576,500.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False
32,172.4,46.2,1861,0.78,5000.0,500.0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
74,179.6,79.9,1998,0.59,5175.89104031576,500.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False
56,160.5,66.6,1908,0.47,5000.0,20423.84320730014,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
57,176.5,77.0,1176,0.32,5175.89104031576,500.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
33,167.5,38.5,2377,0.44,5000.0,18901.259369115334,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
41,172.6,62.4,4319,0.08,5175.89104031576,500.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
45,168.0,58.7,4231,0.06,5000.0,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
75,147.7,54.3,2452,0.49,5175.89104031576,500.0,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
44,150.0,57.9,4154,0.76,5000.0,10656.8885958248,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False
29,178.0,76.3,3121,0.72,5000.0,7051.1771065952,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False
72,157.2,64.2,2466,0.16,5175.89104031576,5070.610961595275,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
72,162.2,54.9,2684,0.78,5000.0,15080.08702060483,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
23,153.4,74.9,3055,0.35,5175.89104031576,1798.0125221383746,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False
42,170.7,87.0,1203,0.38,5175.89104031576,10497.778053549608,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False
23,170.8,46.7,531,0.96,5175.89104031576,500.0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
37,166.2,85.2,2743,0.49,5175.89104031576,16741.9804046619,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
27,160.6,71.5,500,0.23,5175.89104031576,14504.604268333092,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
49,156.9,68.6,1711,0.53,5175.89104031576,500.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
41,177.4,82.0,1882,0.2,5175.89104031576,28685.37160497041,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
73,159.2,67.1,2345,0.86,5175.89104031576,500.0,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
60,165.8,64.5,1704,0.3,5000.0,500.0,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False
57,173.2,54.9,871,0.47,5175.89104031576,500.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
64,171.3,71.2,2589,0.7,5175.89104031576,20212.703427559845,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
49,181.9,72.9,1127,0.22,5175.89104031576,5504.582746306162,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
68,181.6,81.4,1526,0.49,5175.89104031576,8878.890939012841,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
72,171.1,60.4,2676,0.46,5000.0,10124.44495985712,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False
75,175.4,79.0,2362,0.39,5000.0,500.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
62,178.4,66.8,3735,0.4,5175.89104031576,500.0,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
37,171.7,82.7,2379,0.21,5175.89104031576,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False
51,150.6,81.2,3353,0.86,5175.89104031576,29651.483306242997,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
31,176.9,72.0,1599,0.35,5000.0,500.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
31,170.0,51.7,1814,0.07,5175.89104031576,38558.79613385785,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
20,179.9,73.5,3332,0.03,5175.89104031576,14791.054255033709,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
56,161.2,92.0,2204,0.81,5000.0,24690.30817151772,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
42,166.9,85.5,3099,0.73,5175.89104031576,14232.322333697375,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
55,182.7,74.8,1771,0.09,5000.0,500.0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
25,156.3,82.4,5431,0.29,5000.0,27702.156529405507,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
67,176.1,75.2,2979,0.56,5175.89104031576,30331.9324936551,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
68,169.2,93.5,2128,0.18,5175.89104031576,500.0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False
34,176.9,43.0,1863,0.92,5175.89104031576,14449.054890309168,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
73,159.4,69.4,3806,0.29,5175.89104031576,500.0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
67,164.9,64.9,951,0.35,5000.0,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
69,185.7,71.8,936,0.28,5175.89104031576,500.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
64,156.4,52.9,1541,0.33,5175.89104031576,500.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
36,168.7,94.1,2002,0.23,5000.0,9001.546015414096,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
23,166.6,66.8,2582,0.83,5000.0,10903.397392817302,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
26,165.8,83.7,3895,0.61,5175.89104031576,3166.058998466729,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
49,172.1,68.2,500,0.5,5000.0,500.0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
22,169.2,93.2,1224,0.23,5000.0,11196.8709848394,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False
22,173.5,61.9,796,0.88,5175.89104031576,10822.827044993295,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
56,170.1,74.4,898,0.02,5175.89104031576,500.0,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
56,180.2,72.9,500,0.14,5175.89104031576,500.0,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False
51,184.7,62.0,2926,0.42,5000.0,35758.18072081153,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
34,170.4,86.6,2399,0.01,5000.0,11737.23847284871,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
28,178.2,72.8,1768,0.71,5175.89104031576,500.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
65,162.2,82.4,2632,0.57,5000.0,11759.638243193413,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False
67,160.3,73.4,3409,0.87,5175.89104031576,18711.66358452964,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
40,170.3,74.4,3130,0.82,5175.89104031576,500.0,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False
74,169.1,76.3,1899,0.41,5000.0,20814.697568663774,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
21,169.3,74.0,3444,0.23,5000.0,500.0,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
47,173.5,75.8,2384,0.22,5000.0,6829.661938726994,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
23,158.8,44.8,1713,0.58,5175.89104031576,500.0,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False
35,153.7,76.8,2789,0.64,5000.0,29152.59717199099,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False
40,180.5,85.9,3336,0.21,5000.0,500.0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False
41,179.0,35.9,2699,0.33,5175.89104031576,8620.740440969317,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False
68,177.0,86.3,3059,0.75,5000.0,500.0,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
44,167.9,74.2,3485,0.78,5000.0,6950.691750123016,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
75,156.9,88.8,989,0.26,5175.89104031576,12906.990479801343,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False
32,178.3,78.4,2538,0.91,5175.89104031576,21288.40814422946,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
35,159.0,59.6,2107,0.34,5000.0,500.0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
58,181.8,86.9,962,0.87,5000.0,14356.8655104378,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False
62,186.6,78.8,3271,0.22,5000.0,17984.913231590494,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False
48,175.2,72.0,4371,0.52,5000.0,500.0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False
19,178.3,47.7,4022,0.53,5175.89104031576,20399.31047104829,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
29,153.8,60.9,4116,0.42,5000.0,32226.988031995694,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
58,165.6,56.9,3767,0.32,5175.89104031576,500.0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False
26,164.8,99.3,1587,0.73,5175.89104031576,500.0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
23,177.3,71.7,1513,0.65,5000.0,500.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
42,179.2,76.7,2273,0.51,5175.89104031576,11655.390877132537,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
45,171.0,58.3,3352,0.01,5000.0,500.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
52,177.0,58.0,2014,0.29,5000.0,500.0,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
49,183.2,67.0,5607,0.4,5175.89104031576,500.0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False
27,179.1,87.6,2099,0.38,5000.0,15284.764778404458,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
22,175.8,67.0,884,0.13,5175.89104031576,500.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False
72,160.5,77.5,2445,0.85,5175.89104031576,500.0,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
51,175.3,60.4,2408,0.29,5175.89104031576,2050.7157398082786,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
19,180.4,79.3,500,0.6,5175.89104031576,15874.774716771984,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
26,167.9,68.5,2262,0.48,5175.89104031576,500.0,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
59,146.9,48.7,2618,0.2,5000.0,8886.31357750079,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
19,176.1,41.6,3278,0.66,5175.89104031576,2813.156186853146,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
70,170.6,53.7,3247,0.79,5175.89104031576,5257.865301498262,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False
33,163.6,87.7,1517,0.06,5175.89104031576,500.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False
62,167.7,69.7,1393,0.99,5175.89104031576,500.0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
66,180.2,87.2,4100,0.21,5175.89104031576,500.0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
29,161.9,57.4,2152,0.88,5175.89104031576,500.0,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False
49,186.6,65.8,1522,0.09,5175.89104031576,500.0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
72,165.0,56.5,3613,0.21,5000.0,500.0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False
43,185.8,100.2,3269,1.0,5175.89104031576,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
60,183.7,80.3,3928,0.11,5175.89104031576,34295.832598520334,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
58,162.8,79.3,3416,0.89,5175.89104031576,18587.129442140165,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
54,172.7,73.8,3156,0.71,5175.89104031576,500.0,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
48,168.0,97.0,4631,0.03,5000.0,36033.114778201976,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
74,186.0,102.9,1541,0.82,5175.89104031576,37740.068058608034,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
45,164.5,82.7,2098,0.61,5000.0,500.0,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
